TrendGroupGuid,PlantAreaGuid,TrendGroupName,TrendGroupDescription,TrendReadInterval,TrendLogMaximumReads,TrendLogOptions,TrendDataProcessVariableEnable,TrendDataMinMaxEnable,TrendDataMaintenanceEnable,TrendDataLimiterMinMaxEnable,ReadCounter,TrendDataAlarmStatusEnable
E89CEFC4-0011-4A6C-8524-49BDAC06858D,00000000-0000-0000-0000-000000000000,NVENT Test,,60,1000,50,1,1,1,1,1000,1
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,00000000-0000-0000-0000-000000000000,Thermon,,60,1000,25,1,1,1,1,914,1
