TrendGroupGuid,DeviceGuid
E89CEFC4-0011-4A6C-8524-49BDAC06858D,F76545DC-1DC0-48F3-A5E3-C1E025BEEDED
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,F76545DC-1DC0-48F3-A5E3-C1E025BEEDED
E89CEFC4-0011-4A6C-8524-49BDAC06858D,8652DF46-DDCE-41F1-A48D-CE4D1D22C989
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,8652DF46-DDCE-41F1-A48D-CE4D1D22C989
E89CEFC4-0011-4A6C-8524-49BDAC06858D,01D9F4D1-4934-465C-847C-D1747F955EE1
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,01D9F4D1-4934-465C-847C-D1747F955EE1
E89CEFC4-0011-4A6C-8524-49BDAC06858D,2ACA471D-DB93-4548-A412-D556BECB11B7
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,2ACA471D-DB93-4548-A412-D556BECB11B7
E89CEFC4-0011-4A6C-8524-49BDAC06858D,E09DA591-B784-4FFD-8248-E8DADDF280C8
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,E09DA591-B784-4FFD-8248-E8DADDF280C8
E89CEFC4-0011-4A6C-8524-49BDAC06858D,634433DB-8ADC-44A5-9F3E-ED0B4E47F348
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,634433DB-8ADC-44A5-9F3E-ED0B4E47F348
E89CEFC4-0011-4A6C-8524-49BDAC06858D,7361949D-8696-4B32-B5B9-EF0DDB9E0E93
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,7361949D-8696-4B32-B5B9-EF0DDB9E0E93
E89CEFC4-0011-4A6C-8524-49BDAC06858D,7544C0C9-8B8A-4EEC-9A69-F60E7DFD397A
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,7544C0C9-8B8A-4EEC-9A69-F60E7DFD397A
E89CEFC4-0011-4A6C-8524-49BDAC06858D,53A6358B-25C5-4ACB-8D4F-F794F990102E
DA9BE7B1-C75D-484D-946F-4C4F83B4861E,53A6358B-25C5-4ACB-8D4F-F794F990102E
